lat,lon,lookup_elevation_m
29.9,-90.155,-0.99
29.904,-96.676,124.49
29.908,-98.263,302.75
29.92,-82.609,24.12
29.945,-96.749,123.8
29.95,-96.725,124.33
29.954,-81.989,56.07
29.978,-92.163,2.93
29.989,-85.014,1.12
30,-84.503,3.13
30.001,-85.005,7
30.017,-97.146,84.78
30.039,-97.158,100.42
30.051,-84.499,3.44
30.052,-85.073,3.52
30.062,-91.608,0.84
30.066,-93.346,2.75
30.082,-84.654,0.65
30.09,-98.427,397.84
30.095,-85.613,3.63
30.096,-84.644,6.77
30.105,-95.653,56.17
30.11,-97.287,158.89
30.129,-92.908,0.3
30.134,-93.921,3.62
30.135,-85.743,3.16
30.142,-97.286,140.42
30.142,-95.158,30.45
30.142,-85.2,6.93
30.165,-84.675,6.25
30.166,-97.28,140.42
30.179,-97.721,179.61
30.182,-85.754,2.24
30.194,-90.954,3.32
30.199,-84.176,2.47
30.22,-81.682,4.25
30.227,-92.824,3.8
30.248,-82.44,47.25
30.25,-92.274,8.34
30.25,-88.079,1.85
30.252,-94.174,6.9
30.254,-91.988,11.45
30.266,-89.402,1.49
30.268,-87.65,1.77
30.277,-84.988,23.87
30.285,-96.572,84.89
30.291,-96.667,84.03
30.295,-96.535,86.43
30.301,-93.244,4.29
30.303,-93.112,3.66
30.305,-96.512,81.82
30.308,-98.258,322.41
30.309,-96.635,80.57
30.319,-97.758,198.31
30.322,-87.404,6.48
30.323,-87.274,1.35
30.327,-97.841,149.27
30.329,-96.569,76.44
30.329,-86.157,1.73
30.33,-82.76,30.99
30.338,-81.404,0.31
30.339,-96.55,77.61
30.343,-87.314,5.28
30.345,-90.023,5.06
30.348,-93.295,5.84
30.362,-93.721,8.63
30.372,-81.404,2.22
30.373,-88.626,4.53
30.375,-86.3,6.04
30.376,-96.116,68.64
30.378,-83.166,20.85
30.382,-89.104,7.39
30.385,-87.416,5.58
30.385,-86.447,5.73
30.387,-91.208,7.78
30.391,-90.628,4.13
30.391,-88.858,1.19
30.392,-89.479,6.49
30.394,-81.401,2.88
30.397,-88.796,5.98
30.402,-97.953,220.76
30.406,-84.407,23.01
30.408,-88.956,6.31
30.409,-90.14,1.23
30.409,-86.697,3.42
30.409,-81.421,0.1
30.411,-86.499,3.98
30.42,-84.572,30.12
30.429,-85.882,18.63
30.431,-97.873,248.3
30.439,-83.093,18.35
30.447,-84.52,24.54
30.454,-84.482,26.01
30.455,-86.418,4.33
30.46,-86.53,6.28
30.46,-81.416,5.73
30.462,-84.497,26.38
30.466,-98.011,239.46
30.468,-97.907,222.35
30.481,-98.142,223.04
30.487,-98.099,245.8
30.494,-98.114,213.06
30.496,-86.433,8.73
30.497,-86.432,8.16
30.501,-98.814,428.69
30.511,-95.662,71.43
30.527,-95.587,79.48
30.533,-92.081,19.5
30.541,-98.173,210.68
30.553,-95.133,90.78
30.56,-95.638,64.89
30.564,-98.192,214.05
30.569,-89.13,15.2
30.57,-84.951,80.14
30.572,-89.787,11.45
30.616,-96.053,78.19
30.626,-95.528,103.89
30.657,-95.001,45.59
30.657,-83.239,50.18
30.665,-95.151,60.76
30.668,-81.434,4.46
30.67,-87.931,2.43
30.674,-97.737,254.5
30.678,-97.759,272.92
30.682,-97.361,165.36
30.685,-97.349,162.94
30.686,-97.635,204.82
30.687,-97.747,273.53
30.69,-89.06,51.26
30.696,-97.385,159.4
30.701,-84.853,40.47
30.708,-86.883,7.8
30.71,-94.675,85.14
30.714,-87.902,24.33
30.718,-84.851,26.73
30.721,-81.549,1.69
30.73,-85.528,80.59
30.737,-99.212,455.69
30.737,-98.369,282.47
30.739,-84.937,53.98
30.739,-84.857,59.58
30.749,-98.71,315.28
30.755,-98.677,308.1
30.765,-98.454,315.46
30.772,-81.55,5.22
30.779,-88.108,11.91
30.788,-84.667,27.04
30.79,-92.288,23.97
30.805,-84.879,26.86
30.808,-85.212,43.59
30.823,-94.202,26.26
30.827,-82.361,35.16
30.83,-92.486,31.4
30.831,-82.005,25.71
30.832,-94.151,25.3
30.841,-81.562,4.1
30.847,-84.662,24.6
30.853,-94.172,27.55
30.87,-98.454,311.37
30.87,-84.945,26.82
30.874,-89.135,75.24
30.879,-98.437,335.5
30.88,-94.232,25.98
30.894,-86.645,49
30.896,-86.641,47.29
30.901,-84.594,24.25
30.903,-94.406,72.76
30.907,-87.978,0.91
30.918,-101.909,685.56
30.92,-88.972,24.62
30.968,-89.004,30.31
30.97,-87.294,34.1
30.975,-85.008,28.61
30.995,-89.05,35.05
30.998,-86.318,77.12
30.999,-93.014,81.89
31.003,-85.031,30.2
31.009,-93.108,93.65
31.011,-97.621,201.1
31.017,-97.609,189.4
31.029,-94.318,33.84
31.055,-89.118,41.17
31.059,-98.505,390.22
31.059,-94.278,64.91
31.064,-88.319,68.32
31.07,-94.126,59.68
31.07,-88.317,69.71
31.071,-94.055,55.38
31.083,-89.488,86.29
31.09,-86.55,71.4
31.096,-94.204,49.99
31.097,-92.568,69.85
31.106,-81.413,4.26
31.114,-92.47,31.06
31.115,-97.476,188.02
31.116,-97.516,181.39
31.117,-97.839,301.24
31.133,-94.088,52.43
31.133,-88.905,45.4
31.135,-89.23,74.34
31.136,-97.544,193.07
31.137,-94.257,49.98
31.144,-82.214,39.01
31.151,-94.003,56.5
31.154,-81.546,2.95
31.161,-83.54,60.68
31.162,-90.279,71.21
31.17,-97.443,196.86
31.172,-84.742,39.64
31.182,-89.734,64.27
31.192,-90.497,125.28
31.192,-85.373,100.51
31.193,-94.36,59.15
31.194,-98.714,360.11
31.203,-98.695,360.4
31.203,-98.388,445.98
31.203,-94.069,57.94
31.205,-93.732,54.27
31.208,-89.209,79.64
31.211,-93.573,62.33
31.213,-94.267,57.95
31.216,-97.51,186.86
31.231,-97.472,188.95
31.233,-92.611,48.37
31.24,-92.687,54.9
31.244,-93.578,63.21
31.244,-92.68,45.48
31.247,-97.47,185.58
31.25,-96.92,100.32
31.258,-92.632,48.98
31.262,-93.679,51.83
31.266,-93.576,62.07
31.271,-94.322,50.41
31.273,-94.405,54.69
31.276,-85.117,34.85
31.284,-97.479,193.11
31.296,-92.503,23.67
31.308,-85.085,37.02
31.309,-94.375,57.65
31.309,-93.695,58.2
31.327,-97.468,218.28
31.328,-92.725,49.57
31.331,-96.308,113.02
31.339,-88.703,69.49
31.346,-86.281,107.43
31.352,-94.314,53.75
31.369,-93.425,97.55
31.38,-92.346,27.98
31.391,-95.15,99.11
31.409,-85.716,68.75
31.421,-93.677,64.33
31.425,-97.749,225.75
31.425,-96.39,120.83
31.425,-90.985,83.28
31.427,-81.607,2.22
31.445,-93.093,52.35
31.448,-96.378,110.69
31.468,-84.948,90.25
31.474,-93.833,117.18
31.481,-81.615,6.91
31.486,-93.132,65.96
31.492,-93.193,52.96
31.498,-93.144,62.29
31.509,-82.756,65.09
31.51,-92.445,46.69
31.516,-93.06,90.3
31.519,-93.05,111.96
31.521,-94.115,103.5
31.526,-97.227,152.19
31.528,-92.727,28.43
31.542,-93.026,92.31
31.543,-95.232,130.53
31.553,-97.239,148.05
31.553,-84.034,77.46
31.561,-88.04,12.73
31.563,-97.235,143.28
31.57,-93.698,70.06
31.572,-89.649,95.16
31.574,-90.16,82.53
31.574,-88.032,2.45
31.576,-90.09,58.59
31.592,-96.527,134.27
31.592,-93.731,77.53
31.602,-91.202,78.33
31.61,-97.237,152.63
31.615,-87.556,22.02
31.617,-84.138,60.72
31.622,-87.55,14.7
31.644,-85.113,69.66
31.656,-96.592,137.57
31.657,-88.722,89.19
31.661,-85.507,91.52
31.665,-87.573,29.3
31.667,-89.315,67.88
31.673,-90.341,131.47
31.675,-85.062,60.85
31.682,-93.825,62.64
31.701,-83.259,102.48
31.702,-92.513,66.24
31.703,-92.602,37.47
31.712,-89.025,71.63
31.718,-92.571,46.87
31.725,-87.469,14.7
31.736,-98.976,405.63
31.738,-92.514,46.96
31.738,-88.196,37.34
31.746,-88.144,29.41
31.75,-89.726,158.7
31.765,-96.072,113.28
31.768,-93.785,75.42
31.772,-93.96,94.22
31.775,-83.008,42.25
31.777,-85.147,74.09
31.805,-95.195,133.72
31.806,-87.422,19.06
31.832,-89.592,128.12
31.846,-89.682,116.44
31.856,-88.16,13.88
31.883,-97.367,168.67
31.886,-81.212,0
31.89,-97.353,167.68
31.891,-97.702,296.42
31.898,-97.384,159.98
31.898,-93.896,60.56
31.899,-92.779,80.83
31.903,-86.678,130.95
31.913,-89.79,127.53
31.913,-81.562,12.1
31.92,-95.29,129.86
31.93,-97.358,170.29
31.94,-82.371,40.42
31.945,-97.406,165.12
31.946,-96.716,140.86
31.948,-82.507,30.64
31.948,-81.053,2.72
